
null
cycle: 243.0; minSize: 0.06429416177683998; maxSize: 9.145710868705772; mean: 3.7636229802292154
cycle: 244.0; minSize: 0.8442941617768404; maxSize: 9.679568919365948; mean: 4.512986100392201
cycle: 245.0; minSize: 0.02331499972342692; maxSize: 9.958958561342058; mean: 3.473509269531167
cycle: 246.0; minSize: 0.027981550325983914; maxSize: 9.975882763237038; mean: 3.3670632321287894
cycle: 247.0; minSize: 0.02377802788597476; maxSize: 9.926742724045676; mean: 3.5287716316115647
cycle: 248.0; minSize: 0.041237593302181075; maxSize: 9.983374351129449; mean: 3.655403260324632
cycle: 249.0; minSize: 0.07792666996007329; maxSize: 9.866802744306092; mean: 3.973684052782029
cycle: 250.0; minSize: 0.0137808745139269; maxSize: 9.925616100451967; mean: 3.244829372498963
cycle: 251.0; minSize: 0.03437382456255239; maxSize: 9.491987567813709; mean: 2.8844129282959936
cycle: 252.0; minSize: 0.06498184791169695; maxSize: 9.860036888151935; mean: 3.5983903036459592
cycle: 253.0; minSize: 0.061416809758925855; maxSize: 9.942940023431728; mean: 3.5074960592890574
cycle: 254.0; minSize: 0.07322726199092414; maxSize: 9.701492556663442; mean: 3.913831605282705
cycle: 255.0; minSize: 0.017565349931706026; maxSize: 9.75286584428151; mean: 3.249423033196407
cycle: 256.0; minSize: 0.03347812835071233; maxSize: 9.999169870632668; mean: 3.4855776084488688
cycle: 257.0; minSize: 0.057703070412244074; maxSize: 9.785796772528457; mean: 3.907290993625035
cycle: 258.0; minSize: 0.03998442339936551; maxSize: 9.786502771232374; mean: 3.8317781541886675
cycle: 259.0; minSize: 0.049919374379309385; maxSize: 9.697708072318836; mean: 3.6392968795417016
cycle: 260.0; minSize: 0.018932802932894413; maxSize: 9.856032513161981; mean: 2.6968339744763132
cycle: 261.0; minSize: 0.0; maxSize: 9.833757207033091; mean: 2.6315918443441926
cycle: 262.0; minSize: 0.016461536650490674; maxSize: 9.423696982250876; mean: 3.217540851656018
cycle: 263.0; minSize: 0.08072469822139205; maxSize: 9.900505874276405; mean: 3.7951542066276978
cycle: 264.0; minSize: 0.049569892185653344; maxSize: 9.807670318197705; mean: 4.166732447546968
cycle: 265.0; minSize: 0.04877254720079948; maxSize: 9.971195633502061; mean: 4.130183540807821
cycle: 266.0; minSize: 0.03571533198578683; maxSize: 9.98781564271822; mean: 3.4446488776424697
cycle: 267.0; minSize: 0.02307533358894226; maxSize: 9.944842606724675; mean: 3.2991792552934385
cycle: 268.0; minSize: 0.02882534944297578; maxSize: 9.964810626506669; mean: 3.7847906355630494
cycle: 269.0; minSize: 0.03201846330330653; maxSize: 9.96991937437931; mean: 4.5265372759833395
cycle: 270.0; minSize: 0.0145805578725961; maxSize: 9.912339265089376; mean: 3.0782502496688298
cycle: 271.0; minSize: 0.02321063999415897; maxSize: 9.999809443756092; mean: 2.6220240308963856
cycle: 272.0; minSize: 0.03865098334675109; maxSize: 9.918759629304295; mean: 2.6356563434530065
cycle: 273.0; minSize: 0.0248916985495498; maxSize: 9.522107787422497; mean: 3.380446569581438
cycle: 274.0; minSize: 0.059396177319818604; maxSize: 9.785515386565415; mean: 3.7647885759234168
cycle: 275.0; minSize: 0.05975644359316945; maxSize: 9.699607374025573; mean: 4.257469595988414
cycle: 276.0; minSize: 0.005949866653022953; maxSize: 9.972343495341097; mean: 4.671298098096944
cycle: 277.0; minSize: 0.01905986518453709; maxSize: 9.982066054260804; mean: 3.912917501949313
cycle: 278.0; minSize: 0.005204125682775174; maxSize: 9.962658405670215; mean: 3.7495092525364258
cycle: 279.0; minSize: 0.03196772287835499; maxSize: 9.999034555817962; mean: 3.5228929045048467
cycle: 280.0; minSize: 0.045138757460556296; maxSize: 9.994060416225583; mean: 3.3217282117205356
cycle: 281.0; minSize: 0.05153684425217058; maxSize: 9.992064636556606; mean: 3.057205799356161
cycle: 282.0; minSize: 0.017414745917252242; maxSize: 9.976939439063278; mean: 2.764023993540262
cycle: 283.0; minSize: 0.04584680230577819; maxSize: 9.98685624804116; mean: 3.4757370584974265
