
cycle: 138.0; nbPreys: 33; minEnergyPreys: 0.1676470588235247; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.22999999999999982; maxSizePredators: 1.0
cycle: 139.0; nbPreys: 32; minEnergyPreys: 0.15098039215685755; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.20999999999999983; maxSizePredators: 1.0
cycle: 140.0; nbPreys: 31; minEnergyPreys: 0.13529411764705312; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.18999999999999984; maxSizePredators: 1.0
cycle: 141.0; nbPreys: 30; minEnergyPreys: 0.12058823529411143; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.16999999999999985; maxSizePredators: 1.0
cycle: 142.0; nbPreys: 29; minEnergyPreys: 0.10686274509803248; maxSizePreys: 1.0; nbPredators: 11; minEnergyPredators: 0.14999999999999986; maxSizePredators: 1.0
cycle: 143.0; nbPreys: 28; minEnergyPreys: 0.10803921568626791; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.12999999999999987; maxSizePredators: 1.0
cycle: 144.0; nbPreys: 27; minEnergyPreys: 0.1252941176470524; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.10999999999999986; maxSizePredators: 1.0
cycle: 145.0; nbPreys: 26; minEnergyPreys: 0.17529411764705238; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.08999999999999986; maxSizePredators: 1.0
cycle: 146.0; nbPreys: 28; minEnergyPreys: 0.2252941176470524; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.06999999999999985; maxSizePredators: 0.98
cycle: 147.0; nbPreys: 28; minEnergyPreys: 0.27529411764705236; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.04999999999999985; maxSizePredators: 0.96
cycle: 148.0; nbPreys: 28; minEnergyPreys: 0.3252941176470524; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.02999999999999985; maxSizePredators: 0.94
cycle: 149.0; nbPreys: 28; minEnergyPreys: 0.37529411764705245; maxSizePreys: 1.0; nbPredators: 12; minEnergyPredators: 0.00999999999999985; maxSizePredators: 0.9199999999999999
cycle: 150.0; nbPreys: 28; minEnergyPreys: 0.4252941176470525; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.37999999999999956; maxSizePredators: 0.8999999999999999
cycle: 151.0; nbPreys: 24; minEnergyPreys: 0.39999999999999963; maxSizePreys: 1.0; nbPredators: 10; minEnergyPredators: 0.35999999999999954; maxSizePredators: 1.0
